time,command_1,response_1,response_2,response_3
0.01,0.1,-0.0478920652938285,0.000262219973021879,-7.2322140889489
0.02,0.1,-0.0853746754782352,0.000680109284893742,-10.9232575987789
0.03,0.1,-0.113420462638478,0.000769143724644764,-7.2322140889489
0.04,0.1,-0.131734127491759,0.000481335303690921,-10.9232575987789
0.05,0.1,-0.144593804055794,-0.00018497258024024,-6.35380450781566
0.06,0.1,-0.151897311566398,-0.00118810941812395,0.309257126117565
0.07,0.1,-0.150562249081983,-0.00241740813090655,3.57190997086882
0.08,0.1,-0.139491545902218,-0.00380152524697686,2.98587935213674
0.09,0.1,-0.121140214361489,-0.00528973199716411,1.02942337406847
0.1,0.1,-0.0997300149343489,-0.00681015373135057,0.043256917641294
0.11,0.1,-0.079369198886353,-0.00826767844838419,0.323402225557061
0.12,0.1,-0.0631211687814679,-0.00957531197044202,0.916627246532263
0.13,0.1,-0.0528384998557995,-0.0106811058875649,1.02158497833675
0.14,0.1,-0.0494541523172398,-0.0115754421684204,0.590944707913028
0.15,0.1,-0.0533118224524333,-0.0122847379915828,0.0579828482382752
0.16,0.1,-0.0642458969884628,-0.012859903798921,-0.176708528193036
0.17,0.1,-0.0814930028660028,-0.0133655892944116,-0.034648767968446
0.18,0.1,-0.103645147999665,-0.013872937395192,0.293350313920877
0.19,0.1,-0.128901921298172,-0.0144541563903789,0.572568483777617
0.2,0.1,-0.155169250335728,-0.0151771008106444,0.697100264797905
0.21,0.1,-0.180381905568487,-0.0160985202449212,0.704791931031876
0.22,0.1,-0.20260099210342,-0.0172589350822006,0.691590713305986
0.23,0.1,-0.220078902345507,-0.0186790607904871,0.708469190284284
0.24,0.1,-0.23141125870338,-0.0203585436131144,0.745704225651586
0.25,0.1,-0.235776973736131,-0.0222769008279608,0.753148775752414
0.26,0.1,-0.23307866407145,-0.0243951311638495,0.684412564901827
0.27,0.1,-0.224025884185413,-0.0266582763709637,0.530017943055553
0.28,0.1,-0.210084484527137,-0.0290001721536056,0.309843767451575
0.29,0.1,-0.193272759144529,-0.0313500619958383,0.0561220362704313
0.3,0.1,-0.175848147881262,-0.0336402762018889,-0.191630894131525
0.31,0.1,-0.15999685822146,-0.03581414877383,-0.396332482039738
0.32,0.1,-0.147550067325063,-0.0378326389862524,-0.528052737356865
0.33,0.1,-0.139802003892861,-0.039678253887062,-0.568819074862315
