time,command_1,response_1
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0,0
0.009,0,0
0.01,0,0
0.011,0,0
0.012,0,0
0.013,0,0
0.014,0,0
0.015,0,0
0.016,0,0
0.017,0,0
0.018,0,0
0.019,0,0
0.02,0,0
0.021,0,0
0.022,0,0
0.023,0,0
0.024,0,0
0.025,0,0
0.026,0,0
0.027,0,0
0.028,0,0
0.029,0,0
0.03,0,0
0.031,0,0
0.032,0,0
0.033,0,0
0.034,0,0
0.035,0,0
0.036,0,0
0.037,0,0
0.038,0,0
0.039,0,0
0.04,0,0
0.041,0,0
0.042,0,0
0.043,0,0
0.044,0,0
0.045,0,0
0.046,0,0
0.047,0,0
0.048,0,0
0.049,0,0
0.05,0,0
0.051,0,0
0.052,0,0
0.053,0,0
0.054,0,0
0.055,0,0
0.056,0,0
0.057,0,0
0.058,0,0
0.059,0,0
0.06,0,0
0.061,0,0
0.062,0,0
0.063,0,0
0.064,0,0
0.065,0,0
0.066,0,0
0.067,0,0
0.068,0,0
0.069,0,0
0.07,0,0
0.071,0,0
0.072,0,0
0.073,0,0
0.074,0,0
0.075,0,0
0.076,0,0
0.077,0,0
0.078,0,0
0.079,0,0
0.08,0,0
0.081,0,0
0.082,0,0
0.083,0,0
0.084,0,0
0.085,0,0
0.086,0,0
0.087,0,0
0.088,0,0
0.089,0,0
0.09,0,0
0.091,0,0
0.092,0,0
0.093,0,0
0.094,0,0
0.095,0,0
0.096,0,0
0.097,0,0
0.098,0,0
0.099,0,0
0.1,20,0
0.101,20,0
0.102,20,0.000998485576847698
0.103,20,0.00299281704871019
0.104,20,0.00595452491994975
0.105,20,0.00991828834194006
0.106,20,0.0147627698542854
0.107,20,0.0206519930309909
0.108,20,0.0274289135967708
0.109,20,0.0351175178905965
0.11,20,0.0437959909442309
0.111,20,0.053279128655165
0.112,20,0.0638184057102851
0.113,20,0.0750996746955189
0.114,20,0.0871615318538916
0.115,20,0.100140178433487
0.116,20,0.1142889620438
0.117,20,0.129256041228663
0.118,20,0.144759859779564
0.119,20,0.161196690166866
0.12,20,0.17858369592592
0.121,20,0.196268723931391
0.122,20,0.21572977849931
0.123,20,0.234881092805781
0.124,20,0.255547602300036
0.125,20,0.276652089041488
0.126,20,0.298769964239146
0.127,20,0.320820399188837
0.128,20,0.345428541808071
0.129,20,0.369288916077921
0.13,20,0.394780575526323
0.131,20,0.420190688779618
0.132,20,0.445904915770739
0.133,20,0.472444818346941
0.134,20,0.499682661312274
0.135,20,0.528890875784794
0.136,20,0.557987109397072
0.137,20,0.588105798370304
0.138,20,0.617163486170822
0.139,20,0.649148496991724
0.14,20,0.680175378681801
0.141,20,0.711670774909608
0.142,20,0.745484021036482
0.143,20,0.778379425854583
0.144,20,0.811816269552527
0.145,20,0.847988981733095
0.146,20,0.881877494036329
0.147,20,0.916716827304498
0.148,20,0.953085775831804
0.149,20,0.989426314201261
0.15,20,1.02654166046248
0.151,20,1.06436305055967
0.152,20,1.10121535572601
0.153,20,1.13944341486135
0.154,20,1.17971080077632
0.155,20,1.22096641590493
0.156,20,1.25810621770846
0.157,20,1.29742913060108
0.158,20,1.33909495408184
0.159,20,1.37982358411077
0.16,20,1.42150005067167
0.161,20,1.46452107238513
0.162,20,1.50586366018783
0.163,20,1.54773774205148
0.164,20,1.59090422554903
0.165,20,1.63274360824175
0.166,20,1.67709071211446
0.167,20,1.72004896289816
0.168,20,1.76583182331921
0.169,20,1.80933932098162
0.17,20,1.85484376318506
0.171,20,1.90071428970675
0.172,20,1.94435191349128
0.173,20,1.99231041370264
0.174,20,2.03895192293785
0.175,20,2.08239836355612
0.176,20,2.13315630700995
0.177,20,2.1739245160674
0.178,20,2.22331058904842
0.179,20,2.2678127110865
0.18,20,2.31757735002264
0.181,20,2.36261506335723
0.182,20,2.41190016007299
0.183,20,2.45916473482182
0.184,20,2.50586524521542
0.185,20,2.55155035171516
0.186,20,2.60642511474408
0.187,20,2.65850571495099
0.188,20,2.70756450784649
0.189,20,2.7486679944472
0.19,20,2.79845157606688
0.191,20,2.84589962937586
0.192,20,2.89616891209133
0.193,20,2.94203594352653
0.194,20,2.98784864895141
0.195,20,3.04238952689758
0.196,20,3.08766275513915
0.197,20,3.13446142628606
0.198,20,3.19702210677274
0.199,20,3.23772755669055
0.2,0,3.28885692497503
0.201,0,3.34055839695484
0.202,0,3.37892484496658
0.203,0,3.43309903688251
0.204,0,3.47949670857334
0.205,0,3.52314125541432
0.206,0,3.5675448104257
0.207,0,3.60825598859177
0.208,0,3.65503990023624
0.209,0,3.69056413835716
0.21,0,3.73111249541604
0.211,0,3.7762948496287
0.212,0,3.81855810947981
0.213,0,3.84832266616263
0.214,0,3.88464987450316
0.215,0,3.92414854719948
0.216,0,3.96187000295428
0.217,0,3.99572247610567
0.218,0,4.02634353424049
0.219,0,4.0552558831321
0.22,0,4.09216717944202
0.221,0,4.12022524397024
0.222,0,4.15643667736594
0.223,0,4.17422512065324
0.224,0,4.20932795798153
0.225,0,4.24206221554488
0.226,0,4.26160624026706
0.227,0,4.28741887725536
0.228,0,4.31172853927243
0.229,0,4.33949281390396
0.23,0,4.36406934103889
0.231,0,4.38909453563226
0.232,0,4.40746605142637
0.233,0,4.43392628657125
0.234,0,4.45240723246475
0.235,0,4.47433446702505
0.236,0,4.49246411870359
0.237,0,4.51457574533362
0.238,0,4.55103980970782
0.239,0,4.56875705387277
0.24,0,4.57627621657875
0.241,0,4.59184868848424
0.242,0,4.59897476918906
0.243,0,4.61821354257009
0.244,0,4.63353783343512
0.245,0,4.65384408345548
0.246,0,4.66801149743211
0.247,0,4.68013796265745
0.248,0,4.69138350387716
0.249,0,4.70146057445187
0.25,0,4.71817543228622
0.251,0,4.73537613460307
0.252,0,4.74336543555188
0.253,0,4.75307289561557
0.254,0,4.76574811748859
0.255,0,4.77534856756741
0.256,0,4.77432125367748
0.257,0,4.79118792358074
0.258,0,4.79766414345876
0.259,0,4.79811179273404
0.26,0,4.80925563954653
0.261,0,4.82146053474275
0.262,0,4.83393518838145
0.263,0,4.8353872355379
0.264,0,4.84392419341938
0.265,0,4.84407591922271
0.266,0,4.84335876393207
0.267,0,4.85931834118803
0.268,0,4.85890680887421
0.269,0,4.87355751975621
0.27,0,4.88027171704685
0.271,0,4.87363474914227
0.272,0,4.88456063741739
0.273,0,4.88636262377166
0.274,0,4.87744040873089
0.275,0,4.88651858789264
0.276,0,4.8899786880491
0.277,0,4.89297741193295
0.278,0,4.89515103685104
0.279,0,4.8962694727548
0.28,0,4.89713357398821
0.281,0,4.89284789730835
0.282,0,4.89652399997446
0.283,0,4.88366168510271
0.284,0,4.88872830006554
0.285,0,4.89982878748898
0.286,0,4.88996009016111
0.287,0,4.89379464566203
0.288,0,4.89832446550198
0.289,0,4.88512022854016
0.29,0,4.88306292469949
0.291,0,4.88340115816936
0.292,0,4.88579560305923
0.293,0,4.88025619099285
0.294,0,4.87388477242811
0.295,0,4.86817498401801
0.296,0,4.8710236251318
0.297,0,4.8685327753418
0.298,0,4.86358961908391
0.299,0,4.8613112883554
0.3,20,4.85346455109403
0.301,20,4.85746980643124
0.302,20,4.84108789802868
0.303,20,4.84997702470129
0.304,20,4.85094294017019
0.305,20,4.84278037241395
0.306,20,4.84656842001815
0.307,20,4.84895079141667
0.308,20,4.84597319181587
0.309,20,4.85101572937793
0.31,20,4.85590782837996
0.311,20,4.85286394714733
0.312,20,4.86565411542938
0.313,20,4.87175392098699
0.314,20,4.87346799201039
0.315,20,4.87808189256965
0.316,20,4.87904107556825
0.317,20,4.89447467593755
0.318,20,4.89401174622777
0.319,20,4.91627171610939
0.32,20,4.92011274009016
0.321,20,4.92844336541232
0.322,20,4.93535261796644
0.323,20,4.9372158856899
0.324,20,4.95326254544131
0.325,20,4.97272402387053
0.326,20,4.99514255479227
0.327,20,4.99951834701571
0.328,20,5.01054615699032
0.329,20,5.01991150405458
0.33,20,5.03734281507551
0.331,20,5.05612461695789
0.332,20,5.06494775272807
0.333,20,5.09124172574061
0.334,20,5.09121603240891
0.335,20,5.11172375403292
0.336,20,5.13052235508345
