time,command_1,command_2,command_3,command_4,response_1,response_2,response_3,response_4
0,0,0.050169,0.003202,0,-0.00801244102832836,0.0238432026338232,3.74760000001473e-05,-0.000269172457075584
0.0200378894805908,0,0.050168,0.003214,0,-0.00830600267709807,0.0243631408039179,2.31330000000085e-05,-0.000111917000440886
0.0400857925415039,0,0.050168,0.003214,0,-0.00853573825040441,0.0249485665785154,-0.000331176999999849,-0.000111917000440886
0.0600149631500244,0,0.050164,0.003269,0,-0.00870510713511311,0.0255827212203708,-0.000801940999999862,-0.000383076320829456
0.0800518989562988,0,0.050164,0.003269,0,-0.00901231891641796,0.0262772902036426,-0.00135571299999993,-0.000383076320829456
0.100189924240112,0,0.050163,0.003289,0,-0.00923334650782545,0.0266108059724169,-0.00184545899999999,-0.000768648777679903
0.120046854019165,0,0.050164,0.003282,0,-0.00942902762344801,0.0267783839591856,-0.00253466799999991,-0.000768648777679903
0.14000678062439,0,0.050164,0.003282,0,-0.00958606446721197,0.0273508110133116,-0.00339105199999989,-0.000768648000228911
0.160043954849243,0,0.04236,0.123337,0,-0.00983178318968076,0.0278155921015882,-0.00409637399999996,-0.000268912189318016
0.180046796798706,0,0.04236,0.123337,0,-0.0100942799602842,0.0281209053463133,-0.00491461199999987,-0.000268912189318016
0.200055837631226,0,0.042386,0.123314,0,-0.010329936665292,0.0284586960131524,-0.00585876399999996,0.00038777747948826
0.222314834594727,0,-0.025229,0.046375,0,-0.0105064298106063,0.0289439581036539,-0.00652258299999986,0.000658826278257418
0.24210786819458,0,-0.025229,0.046375,0,-0.0106156994934179,0.0296095508872086,-0.00737396199999996,0.000658826278257418
0.262292861938477,0,0.028009,0.032021,0,-0.0107087608413033,0.0301695020030196,-0.00800884999999996,0.000658826278257418
0.282200813293457,0,0.028009,0.032021,0,-0.0109165710171624,0.0305327990427861,-0.00871490499999994,0.000501006748223176
0.302132844924927,0,0.027994,0.032035,0,-0.0109864888676997,0.0308675360346265,-0.00968658399999989,5.94254406127703e-07
0.322056770324707,0,0.072217,0.082208,0,-0.011096440144003,0.0311346788266513,-0.010376404,5.94254406127703e-07
0.342046976089478,0,0.072217,0.082208,0,-0.0111950984366039,0.0314677601529044,-0.0110806879999998,-0.000113667723253386
0.362035989761353,0,0.047031,0.053315,0,-0.0111956624046402,0.0317867938906365,-0.0118037109999999,-0.000270868817454417
0.382071971893311,0,0.047031,0.053315,0,-0.0112849072334782,0.0322888009464596,-0.0124573969999998,-0.000270868817454417
0.402158975601196,0,0.04707,0.05328,0,-0.0111129226524364,0.0328009296401025,-0.013237976,-0.000384494786119127
0.422108888626099,0,0.04707,0.05328,0,-0.0109583329270916,0.0331973872634556,-0.0139342039999999,-0.000384494786119127
0.442195892333984,0,0.047,0.053342,0,-0.0107721569576111,0.0334719717891956,-0.014594299,-0.000654828373326755
0.462076902389526,0,0.046871,0.053455,0,-0.0103888120382789,0.033608523261866,-0.0152098389999999,-0.000768595181244613
0.482128858566284,0,0.046871,0.053455,0,-0.0100213789138548,0.0337167497750816,-0.0158186029999999,-0.000768595181244613
0.502343893051147,0,-0.014319,0.107198,0,-0.00954509930934596,0.0337229937459303,-0.016332763,-0.000768665006189106
0.522193908691406,0,-0.014319,0.107198,0,-0.00898605204368334,0.0335586922925589,-0.0168952019999999,-0.000768797720563708
0.542080879211426,0,-0.014349,0.1072,0,-0.00828174285730908,0.0333467883230427,-0.0173615109999999,-0.000768797720563708
0.562231779098511,0,-0.014306,0.10715,0,-0.00742356465199579,0.0330395420596849,-0.0178666379999999,-0.000768797720563708
0.582100868225098,0,-0.014306,0.10715,0,-0.00666567209741442,0.0327174423231442,-0.0183269039999999,-0.0010410445286011
0.602317810058594,0,0.020101,0.076902,0,-0.00563743342171406,0.0322231874433065,-0.0186871949999999,-0.0010410445286011
0.622051954269409,0,0.020105,0.076901,0,-0.00450142919629758,0.0312016566093557,-0.0188535149999999,-0.0010410445286011
0.64218282699585,0,0.020105,0.076901,0,-0.00315359061354186,0.0307543482759265,-0.0192757569999999,-0.000927556468180324
0.662156820297241,0,0.020117,0.076897,0,-0.00157377793475501,0.0296380660100056,-0.0195662839999999,-0.000927556468180324
0.682188987731934,0,0.020117,0.076897,0,-0.000157711908439233,0.0284892678052595,-0.0198878779999999,-0.000271236013404508
0.702035903930664,0,0.020142,0.076891,0,0.00144689652165508,0.0266289534292185,-0.0203988029999999,-0.000271590695016588
0.722039937973022,0,0.020142,0.076891,0,0.0033694609827709,0.0254627096007808,-0.0206932979999999,-0.000271590695016588
0.742364883422852,0,0.020123,0.076896,0,0.00533482247442747,0.0232658139953316,-0.021012878,-0.000386596111396464
0.762132883071899,0,-0.077561,-0.0345,0,0.00737447380653211,0.0213949726249672,-0.021218078,-0.000387836497277583
0.782218933105469,0,-0.077561,-0.0345,0,0.00986657411768426,0.0187034366098164,-0.0214264519999999,-0.000387836497277583
0.802388906478882,0,-0.077553,-0.0345,0,0.0120063704339844,0.0166741315755132,-0.0217097779999998,-3.27509417630267e-06
0.822070837020874,0,-0.077553,-0.0345,0,0.0146329424751584,0.0140894566658517,-0.0220020139999999,0.000109758350531841
0.842121839523315,0,-0.077456,-0.034499,0,0.0173105582477101,0.0106748013919295,-0.022402466,0.000109758350531841
0.862053871154785,0,-0.077456,-0.034499,0,0.0201105195120534,0.00776580479366598,-0.022700439,0.000108993448086903
0.882125854492188,0,-0.003211,0.050168,0,0.0229766948995809,0.00422433658151963,-0.0229931029999999,0.000108993448086903
